,Agropecuario heterogeneo,Agrícola homogeneo,Bosques,Herbazales y arbustales,Humedales,Pasturas homogeneas,Suelos desprovistos de vegetación (natural),Urbano - urbanizado,Usos extractivos,Vegetación secundaria o seminatural,Áreas degradadas
0,3047.08,5055.24,23808.33,95629.45,912.76,8677.47,29.53,711.36,2090.27,54.39,1508.56
1,2750.78,5302.26,23990.85,95562.44,758.36,8676.55,-693.43,1144.05,2450.27,-143.41,1691.35
2,2454.49,5549.64,24174.66,95483.38,602.97,8676.76,-1419.60,1572.76,2807.11,-337.70,1873.36
3,2158.25,5797.31,24359.80,95392.25,446.60,8678.05,-2148.83,1997.36,3160.73,-528.49,2054.62
4,1862.12,6045.19,24546.28,95289.08,289.27,8680.38,-2880.95,2417.75,3511.11,-715.82,2235.17
5,1566.14,6293.23,24734.13,95173.86,131.00,8683.73,-3615.81,2833.79,3858.18,-899.69,2415.05
6,1270.35,6541.34,24923.36,95046.61,-28.21,8688.04,-4353.27,3245.37,4201.91,-1080.13,2594.30
7,974.81,6789.46,25114.00,94907.34,-188.35,8693.28,-5093.15,3652.37,4542.25,-1257.17,2772.95
8,679.56,7037.53,25306.06,94756.08,-349.39,8699.41,-5835.32,4054.68,4879.17,-1430.81,2951.03
9,384.64,7285.48,25499.55,94592.82,-511.34,8706.39,-6579.59,4452.18,5212.62,-1601.11,3128.59
